Из 0 в 0; длина: 0; путь: 0
Из 0 в 1; длина: 5; путь: 0 - 2 - 3 - 1
Из 0 в 2; длина: 2; путь: 0 - 2
Из 0 в 3; длина: 4; путь: 0 - 2 - 3
Из 0 в 4; длина: 10; путь: 0 - 4
Из 0 в 5; длина: 6; путь: 0 - 5
Из 0 в 6; длина: 7; путь: 0 - 6
Из 0 в 7; длина: 8; путь: 0 - 7
Из 0 в 8; длина: 9; путь: 0 - 8
Из 0 в 9; длина: 1; путь: 0 - 9
Из 0 в 10; длина: 2; путь: 0 - 10
Из 0 в 11; длина: 4; путь: 0 - 2 - 11

Из 1 в 0; длина: 4; путь: 1 - 0
Из 1 в 1; длина: 0; путь: 1
Из 1 в 2; длина: 3; путь: 1 - 2
Из 1 в 3; длина: 5; путь: 1 - 2 - 3
Из 1 в 4; длина: 10; путь: 1 - 4
Из 1 в 5; длина: 6; путь: 1 - 5
Из 1 в 6; длина: 7; путь: 1 - 6
Из 1 в 7; длина: 8; путь: 1 - 7
Из 1 в 8; длина: 9; путь: 1 - 8
Из 1 в 9; длина: 1; путь: 1 - 9
Из 1 в 10; длина: 3; путь: 1 - 10
Из 1 в 11; длина: 5; путь: 1 - 2 - 11

Из 2 в 0; длина: 6; путь: 2 - 11 - 0
Из 2 в 1; длина: 3; путь: 2 - 3 - 1
Из 2 в 2; длина: 0; путь: 2
Из 2 в 3; длина: 2; путь: 2 - 3
Из 2 в 4; длина: 10; путь: 2 - 4
Из 2 в 5; длина: 6; путь: 2 - 5
Из 2 в 6; длина: 7; путь: 2 - 6
Из 2 в 7; длина: 8; путь: 2 - 7
Из 2 в 8; длина: 9; путь: 2 - 8
Из 2 в 9; длина: 1; путь: 2 - 9
Из 2 в 10; длина: 4; путь: 2 - 10
Из 2 в 11; длина: 2; путь: 2 - 11

Из 3 в 0; длина: 5; путь: 3 - 1 - 0
Из 3 в 1; длина: 1; путь: 3 - 1
Из 3 в 2; длина: 3; путь: 3 - 9 - 2
Из 3 в 3; длина: 0; путь: 3
Из 3 в 4; длина: 10; путь: 3 - 4
Из 3 в 5; длина: 6; путь: 3 - 5
Из 3 в 6; длина: 7; путь: 3 - 6
Из 3 в 7; длина: 8; путь: 3 - 7
Из 3 в 8; длина: 9; путь: 3 - 8
Из 3 в 9; длина: 1; путь: 3 - 9
Из 3 в 10; длина: 4; путь: 3 - 1 - 10
Из 3 в 11; длина: 5; путь: 3 - 9 - 2 - 11

Из 4 в 0; длина: 7; путь: 4 - 3 - 1 - 0
Из 4 в 1; длина: 3; путь: 4 - 3 - 1
Из 4 в 2; длина: 3; путь: 4 - 9 - 2
Из 4 в 3; длина: 2; путь: 4 - 3
Из 4 в 4; длина: 0; путь: 4
Из 4 в 5; длина: 6; путь: 4 - 5
Из 4 в 6; длина: 7; путь: 4 - 6
Из 4 в 7; длина: 8; путь: 4 - 7
Из 4 в 8; длина: 9; путь: 4 - 8
Из 4 в 9; длина: 1; путь: 4 - 9
Из 4 в 10; длина: 6; путь: 4 - 3 - 1 - 10
Из 4 в 11; длина: 4; путь: 4 - 11

Из 5 в 0; длина: 4; путь: 5 - 0
Из 5 в 1; длина: 6; путь: 5 - 2 - 3 - 1
Из 5 в 2; длина: 3; путь: 5 - 2
Из 5 в 3; длина: 5; путь: 5 - 2 - 3
Из 5 в 4; длина: 10; путь: 5 - 4
Из 5 в 5; длина: 0; путь: 5
Из 5 в 6; длина: 7; путь: 5 - 6
Из 5 в 7; длина: 8; путь: 5 - 7
Из 5 в 8; длина: 9; путь: 5 - 8
Из 5 в 9; длина: 1; путь: 5 - 9
Из 5 в 10; длина: 6; путь: 5 - 0 - 10
Из 5 в 11; длина: 5; путь: 5 - 2 - 11

Из 6 в 0; длина: 4; путь: 6 - 0
Из 6 в 1; длина: 6; путь: 6 - 2 - 3 - 1
Из 6 в 2; длина: 3; путь: 6 - 2
Из 6 в 3; длина: 5; путь: 6 - 2 - 3
Из 6 в 4; длина: 10; путь: 6 - 4
Из 6 в 5; длина: 6; путь: 6 - 5
Из 6 в 6; длина: 0; путь: 6
Из 6 в 7; длина: 8; путь: 6 - 7
Из 6 в 8; длина: 9; путь: 6 - 8
Из 6 в 9; длина: 1; путь: 6 - 9
Из 6 в 10; длина: 2; путь: 6 - 10
Из 6 в 11; длина: 2; путь: 6 - 11

Из 7 в 0; длина: 7; путь: 7 - 3 - 1 - 0
Из 7 в 1; длина: 3; путь: 7 - 3 - 1
Из 7 в 2; длина: 3; путь: 7 - 9 - 2
Из 7 в 3; длина: 2; путь: 7 - 3
Из 7 в 4; длина: 10; путь: 7 - 4
Из 7 в 5; длина: 6; путь: 7 - 5
Из 7 в 6; длина: 7; путь: 7 - 6
Из 7 в 7; длина: 0; путь: 7
Из 7 в 8; длина: 9; путь: 7 - 8
Из 7 в 9; длина: 1; путь: 7 - 9
Из 7 в 10; длина: 6; путь: 7 - 10
Из 7 в 11; длина: 5; путь: 7 - 9 - 2 - 11

Из 8 в 0; длина: 7; путь: 8 - 10 - 0
Из 8 в 1; длина: 5; путь: 8 - 2 - 3 - 1
Из 8 в 2; длина: 2; путь: 8 - 2
Из 8 в 3; длина: 4; путь: 8 - 2 - 3
Из 8 в 4; длина: 10; путь: 8 - 4
Из 8 в 5; длина: 6; путь: 8 - 5
Из 8 в 6; длина: 7; путь: 8 - 6
Из 8 в 7; длина: 8; путь: 8 - 7
Из 8 в 8; длина: 0; путь: 8
Из 8 в 9; длина: 1; путь: 8 - 9
Из 8 в 10; длина: 3; путь: 8 - 10
Из 8 в 11; длина: 4; путь: 8 - 11

Из 9 в 0; длина: 8; путь: 9 - 2 - 11 - 0
Из 9 в 1; длина: 5; путь: 9 - 2 - 3 - 1
Из 9 в 2; длина: 2; путь: 9 - 2
Из 9 в 3; длина: 4; путь: 9 - 2 - 3
Из 9 в 4; длина: 10; путь: 9 - 4
Из 9 в 5; длина: 6; путь: 9 - 5
Из 9 в 6; длина: 7; путь: 9 - 6
Из 9 в 7; длина: 8; путь: 9 - 7
Из 9 в 8; длина: 9; путь: 9 - 8
Из 9 в 9; длина: 0; путь: 9
Из 9 в 10; длина: 6; путь: 9 - 2 - 10
Из 9 в 11; длина: 4; путь: 9 - 2 - 11

Из 10 в 0; длина: 4; путь: 10 - 0
Из 10 в 1; длина: 6; путь: 10 - 2 - 3 - 1
Из 10 в 2; длина: 3; путь: 10 - 2
Из 10 в 3; длина: 5; путь: 10 - 2 - 3
Из 10 в 4; длина: 10; путь: 10 - 4
Из 10 в 5; длина: 6; путь: 10 - 5
Из 10 в 6; длина: 7; путь: 10 - 6
Из 10 в 7; длина: 8; путь: 10 - 7
Из 10 в 8; длина: 9; путь: 10 - 8
Из 10 в 9; длина: 1; путь: 10 - 9
Из 10 в 10; длина: 0; путь: 10
Из 10 в 11; длина: 5; путь: 10 - 2 - 11

Из 11 в 0; длина: 4; путь: 11 - 0
Из 11 в 1; длина: 6; путь: 11 - 2 - 3 - 1
Из 11 в 2; длина: 3; путь: 11 - 2
Из 11 в 3; длина: 5; путь: 11 - 2 - 3
Из 11 в 4; длина: 10; путь: 11 - 4
Из 11 в 5; длина: 6; путь: 11 - 5
Из 11 в 6; длина: 7; путь: 11 - 6
Из 11 в 7; длина: 8; путь: 11 - 7
Из 11 в 8; длина: 9; путь: 11 - 8
Из 11 в 9; длина: 1; путь: 11 - 9
Из 11 в 10; длина: 2; путь: 11 - 10
Из 11 в 11; длина: 0; путь: 11

